playerid,version_date,name,age,team,drc_warp,drc_plus,drc_sd,drc_raa,brr,fraa,g,pa,ab,r,h,b1,b2,b3,hr,rbi,sb,cs,bb,so,hbp,tb,avg,obp,slg,ops,iso,babip,salary
469,36800,Benito Santiago,35,CIN,-0.5,78,11,-6.8,0.1,-11.9,89,277,252,22,66,46,11,1,8,45,2,2,19,45,1,103,0.262,0.31,0.409,0.719,0.147,0.284,1000000
30258,36800,Wilton Veras,22,BOS,-0.5,57,11,-9.4,-0.6,-1.7,49,179,164,21,40,32,7,1,0,14,0,0,7,20,2,49,0.244,0.278,0.299,0.577,0.055,0.272,#N/A
17610,36800,F.P. Santangelo,32,LAN,-0.5,67,15,-6.9,-0.6,-3.5,81,177,142,19,28,23,4,0,1,9,3,2,21,33,6,35,0.197,0.322,0.246,0.568,0.049,0.245,750000
734,36800,Aramis Ramirez,22,PIT,-0.5,76,12,-7.5,-0.6,-7.2,73,274,254,19,65,42,15,2,6,35,0,0,10,36,5,102,0.256,0.293,0.402,0.695,0.146,0.273,230000
354,36800,Marquis Grissom,33,MIL,-0.5,74,8,-19.2,2.5,-11.1,146,640,595,67,145,111,18,2,14,62,20,10,39,99,0,209,0.244,0.288,0.351,0.64,0.108,0.27,5000000
1203,36800,Marty Cordova,30,TOR,-0.5,78,12,-5.2,0.5,-5.5,62,221,200,23,49,38,7,0,4,18,3,2,18,35,3,68,0.245,0.317,0.34,0.657,0.095,0.28,500000
403,36800,Wilton Guerrero,25,MON,-0.6,59,9,-15.7,1.4,0.4,127,314,288,30,77,66,7,2,2,23,8,1,19,41,0,94,0.267,0.312,0.326,0.638,0.059,0.305,825000
652,36800,Marlon Anderson,26,PHI,-0.6,56,10,-9.3,-0.7,-1.4,41,174,162,10,37,27,8,1,1,15,2,2,12,22,0,50,0.228,0.282,0.309,0.59,0.08,0.259,#N/A
1528,36800,Royce Clayton,30,TEX,-0.6,73,9,-17.6,-1.2,-13.8,148,573,513,70,124,84,21,5,14,54,11,7,42,92,3,197,0.242,0.301,0.384,0.685,0.142,0.268,4500000
17150,36800,Carlos Hernandez,33,SDN,-0.6,78,11,-5,-2.4,-9.5,58,212,191,16,48,35,11,0,2,25,1,3,16,26,3,65,0.251,0.316,0.34,0.656,0.089,0.279,1750000
17228,36800,Kevin Jordan,30,PHI,-0.6,57,10,-18.8,-0.4,1.7,109,358,337,30,74,51,16,2,5,36,0,1,17,41,1,109,0.22,0.257,0.323,0.58,0.104,0.235,1000000
60,36800,Darren Bragg,30,COL,-0.6,62,15,-7.7,-0.5,-2.6,71,169,149,16,33,22,7,1,3,21,4,1,17,41,0,51,0.221,0.296,0.342,0.638,0.121,0.278,750000
16782,36800,Bobby Bonilla,37,ATL,-0.6,98,11,0.8,0.9,-15.3,114,278,239,23,61,40,13,3,5,28,0,0,37,51,1,95,0.255,0.356,0.397,0.754,0.142,0.304,200000
16804,36800,Rico Brogna,30,PHI,-0.7,56,13,-7.5,-0.7,-0.7,38,139,129,12,32,17,14,0,1,13,1,0,7,28,2,49,0.248,0.295,0.38,0.675,0.132,0.307,4200000
502,36800,Alex Gonzalez,23,FLO,-0.7,45,8,-28.2,0.3,1.8,109,407,385,35,77,49,17,4,7,42,7,1,13,77,2,123,0.2,0.229,0.319,0.548,0.119,0.231,3025000
387,36800,Peter Bergeron,22,MON,-0.7,63,7,-26.4,1,-1.2,148,592,518,80,127,90,25,7,5,31,11,13,58,100,0,181,0.245,0.32,0.349,0.669,0.104,0.294,201500
16663,36800,Jeff Abbott,27,CHA,-0.7,69,12,-8.6,1.5,-7.4,80,241,215,31,59,40,15,1,3,29,2,1,21,38,2,85,0.274,0.343,0.395,0.738,0.121,0.32,255000
1503,36800,Tom Prince,35,PHI,-0.8,69,19,-5.1,0.1,-10.2,46,140,122,14,29,18,9,0,2,16,1,0,13,31,2,44,0.238,0.321,0.361,0.682,0.123,0.303,300000
258,36800,Fred McGriff,36,TBA,-0.8,115,10,18,-2,-32,158,664,566,82,157,112,18,0,27,106,2,0,91,120,0,256,0.277,0.373,0.452,0.826,0.175,0.305,6250000
752,36800,Kevin Young,31,PIT,-0.8,87,10,-6.1,0.7,-9.2,132,541,496,77,128,81,27,0,20,88,8,3,32,96,8,215,0.258,0.311,0.433,0.744,0.175,0.281,5625000
494,36800,Homer Bush,27,TOR,-0.8,48,9,-21.4,-0.4,3.6,76,325,297,38,64,55,8,0,1,18,9,4,18,60,5,75,0.215,0.271,0.253,0.524,0.037,0.266,1450000
681,36800,Tomas Perez,26,PHI,-0.8,53,10,-9,-0.7,-6,45,152,140,17,31,22,7,1,1,13,1,1,11,30,0,43,0.221,0.278,0.307,0.585,0.086,0.275,#N/A
29717,36800,Eddie Taubensee,31,CIN,-0.8,74,10,-8.5,-1.1,-13.7,81,291,266,29,71,53,12,0,6,24,0,0,21,44,2,101,0.267,0.324,0.38,0.704,0.113,0.3,1400000
396,36800,Wil Cordero,28,PIT,-1.2,96,9,0.5,-3.1,-19.2,89,378,348,46,98,55,24,3,16,51,1,2,25,58,4,176,0.282,0.336,0.506,0.842,0.224,0.298,#N/A
16984,36800,Todd Dunwoody,25,KCA,-1.3,46,8,-13.2,-0.8,-4.2,61,195,178,12,37,27,9,0,1,23,3,0,8,42,1,49,0.208,0.238,0.275,0.514,0.067,0.255,232500
17268,36800,Mike Lansing,32,COL,-1.3,64,9,-17.3,-2.4,-5.9,90,400,365,62,94,63,14,6,11,47,8,2,31,49,0,153,0.258,0.315,0.419,0.734,0.162,0.271,6250000
